Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
8.0,jennifer gadirova,GBR,5.3,7.933,0.1,13.133,2022,TeamFinal
1.0,jessica gadirova,GBR,6.0,8.4,0.0,14.4,2022,AAfinal
1.0,jessica gadirova,GBR,6.0,8.2,0.0,14.2,2022,final
3.0,jessica gadirova,GBR,5.9,8.3,0.1,14.1,2022,qual
1.0,jessica gadirova,GBR,5.8,8.8,0.0,14.6,2022,final
1.0,jessica gadirova,GBR,5.7,8.35,0.0,14.05,2022,qual
1.0,jessica gadirova,GBR,5.7,8.3,0.0,14.0,2022,final
2.0,jessica gadirova,GBR,5.6,8.166,0.0,13.766,2022,qual
5.0,jessica gadirova,GBR,5.7,7.833,0.3,13.233,2022,TeamFinal
2.0,jessica gadirova,GBR,6.2,8.2,0.0,14.4,2023,qual
1.0,jessica gadirova,GBR,5.8,8.133,0.0,13.933,2023,AAfinal
1.0,jessica gadirova,GBR,5.8,8.2,0.0,14.0,2023,final
1.0,jessica gadirova,GBR,5.8,8.1,0.0,13.9,2023,qual
142.0,samira gahramanova,AZE,3.6,5.9,0.3,9.2,2022,qual
17.0,samira gahramanova,AZE,4.4,7.166,0.0,11.566,2022,qual
10.0,samira gahramanova,AZE,4.4,7.033,0.0,11.433,2022,qual
13.0,samira gahramanova,AZE,4.4,6.7,0.0,11.1,2022,qual
107.0,samira gahramanova,AZE,4.3,5.966,0.0,10.266,2022,qual
143.0,samira gahramanova,AZE,4.3,6.5,0.0,10.8,2023,qual
20.0,samira gahramanova,AZE,4.5,7.033,0.1,11.433,2023,qual
113.0,samira gahramanova,AZE,4.0,6.4,0.0,10.4,2023,qual
18.0,samira gahramanova,AZE,4.1,6.6,0.0,10.7,2023,qual
17.0,samira gahramanova,AZE,4.4,6.766,0.1,11.066,2023,qual
97.0,valentina georgieva,BUL,4.8,6.333,0.1,11.033,2022,qual
8.0,valentina georgieva,BUL,4.8,7.75,0.0,12.55,2022,qual
6.0,valentina georgieva,BUL,4.8,7.8,0.0,12.6,2022,final
22.0,elisabeth geurts,NED,5.0,7.1,0.1,12.0,2023,qual
6.0,amalia ghigoarta,ROU,5.1,7.633,0.0,12.733,2023,AAfinal
30.0,amalia ghigoarta,ROU,5.1,7.6,0.3,12.4,2023,qual
32.0,chiara giubellini,SUI,5.1,7.733,0.3,12.533,2022,qual
6.0,chiara giubellini,SUI,5.0,7.166,0.0,12.166,2023,final
4.0,chiara giubellini,SUI,5.0,7.366,0.0,12.366,2023,qual
16.0,ani gobadze,GEO,4.5,7.266,0.0,11.766,2022,qual
108.0,ani gobadze,GEO,3.9,6.366,0.1,10.166,2022,qual
36.0,ani gobadze,GEO,3.7,6.366,0.3,9.766,2023,qual
101.0,ani gobadze,GEO,4.0,6.933,0.0,10.933,2023,qual
16.0,georgia godwin,AUS,5.5,7.633,0.1,13.033,2022,AAfinal
35.0,georgia godwin,AUS,5.6,7.633,0.3,12.933,2022,qual
20.0,georgia godwin,AUS,5.5,7.133,0.3,12.333,2023,AAfinal
39.0,georgia godwin,AUS,5.7,7.366,0.3,12.766,2023,qual
1.0,georgia godwin,AUS,5.7,8.133,0.0,13.833,2023,qual
1.0,georgia godwin,AUS,5.8,7.7,0.1,13.4,2023,final
1.0,georgia godwin,AUS,5.8,7.767,0.0,13.567,2023,final
1.0,georgia godwin,AUS,5.8,7.667,0.0,13.467,2023,qual
3.0,georgia godwin,AUS,5.2,7.75,0.0,12.95,2022,AAfinal
8.0,georgia godwin,AUS,5.2,7.55,0.1,12.65,2022,qual
18.0,eilidh gorrell,GBR,4.4,7.65,0.1,11.95,2022,qual
21.0,eilidh gorrell,GBR,4.0,7.5,0.0,11.5,2023,qual
22.0,eilidh gorrell,SCO,4.2,7.5,0.0,11.7,2022,qual
9.0,alexa grande,ESA,4.4,7.7,0.3,11.8,2023,AAfinal
11.0,alexa grande,ESA,4.5,7.8,0.3,12.0,2023,qual
14.0,alexa grande,ESA,4.7,7.366,0.1,11.966,2023,AAfinal
18.0,alexa grande,ESA,4.6,7.366,0.0,11.966,2023,qual
23.0,shanna kae grant,GBR,3.9,7.9,0.0,11.8,2022,qual
4.0,shanna kae grant,GBR,4.8,8.55,0.0,13.35,2023,final
5.0,shanna kae grant,GBR,4.7,8.25,0.0,12.95,2023,qual
81.0,elina gravin,SWE,4.3,8.0,0.0,12.3,2023,qual
6.0,elina gravin,SWE,4.3,7.933,0.0,12.233,2023,final
7.0,elina gravin,SWE,4.2,8.033,0.0,12.233,2023,qual
37.0,hildur gudmundsdottir,ISL,4.3,7.9,0.0,12.2,2023,qual
94.0,hildur maja gudmundsdottir,ISL,4.3,7.733,0.0,12.033,2022,qual
59.0,hildur maja gudmundsdottir,ISL,4.2,7.6,0.0,11.8,2022,qual
2.0,maddison hajjar,CAN,4.7,8.133,0.0,12.832999999999998,2023,final
3.0,maddison hajjar,CAN,4.7,7.933,0.0,12.633,2023,qual
18.0,maddison hajjar,CAN,4.7,7.55,0.0,12.25,2023,qual
140.0,selma halvorsen,NOR,4.0,6.1,0.0,10.1,2022,qual
11.0,selma halvorsen,NOR,4.0,7.266,0.0,11.266,2022,qual
22.0,selma halvorsen,NOR,3.9,7.333,0.0,11.233,2023,qual
31.0,ameera hariadi,INA,4.3,6.933,0.1,11.133,2023,qual
19.0,ameera hariadi,INA,4.3,7.166,0.0,11.466,2023,qual
8.0,daria angelina hartmann,SUI,4.6,7.5,0.1,12.0,2023,final
6.0,daria angelina hartmann,SUI,4.5,7.6,0.0,12.1,2023,qual
18.0,chiaki hatakeda,JPN,5.2,7.4,0.0,12.6,2023,AAfinal
57.0,chiaki hatakeda,JPN,5.3,7.3,0.0,12.6,2023,qual
2.0,chiaki hatakeda,JPN,5.1,7.8,0.0,12.9,2023,final
3.0,chiaki hatakeda,JPN,5.1,7.666,0.0,12.766,2023,qual
5.0,chiaki hatakeda,JPN,5.1,7.866,0.0,12.966,2023,qual
37.0,ada hautala,FIN,5.0,7.9,0.0,12.9,2022,qual
45.0,ada hautala,FIN,4.4,7.7,0.0,12.1,2022,qual
4.0,ada hautala,FIN,5.0,7.766,0.0,12.766,2022,final
7.0,ada hautala,FIN,4.8,7.766,0.3,12.266,2022,qual
101.0,ada hautala,FIN,4.6,7.366,0.0,11.966,2023,qual
14.0,ada hautala,FIN,4.6,7.766,0.0,12.366,2023,qual
39.0,ada hautala,FIN,4.7,7.466,0.0,12.166,2023,qual
23.0,carolann heduit,FRA,5.1,6.8,0.0,11.9,2022,AAfinal
26.0,carolann heduit,FRA,5.3,7.866,0.0,13.166,2022,qual
13.0,carolann heduit,FRA,5.4,6.866,0.0,12.266,2022,qual
19.0,carolann heduit,FRA,5.2,7.666,0.1,12.766,2022,qual
12.0,carolann heduit,FRA,5.3,7.666,0.0,12.966,2022,TeamFinal
51.0,tommera hendricks,GBR,4.2,6.6,0.3,10.5,2022,qual
13.0,tommera hendricks,GBR,4.3,7.65,0.2,11.75,2023,qual
29.0,hillary heron,PAN,5.5,7.566,0.1,12.966,2023,qual
5.0,hillary heron,PAN,5.1,7.266,0.0,12.366,2023,final
6.0,hillary heron,PAN,5.1,7.2,0.0,12.3,2023,qual
8.0,hillary heron,PAN,5.0,7.533,0.0,12.533,2023,AAfinal
6.0,hillary heron,PAN,5.3,7.433,0.1,12.633,2023,final
8.0,hillary heron,PAN,5.5,7.466,0.0,12.966,2023,qual
1.0,hillary heron soto,PAN,5.0,7.95,0.0,12.95,2023,AAfinal
3.0,hillary heron soto,PAN,5.0,7.85,0.0,12.85,2023,final
3.0,hillary heron soto,PAN,5.0,8.05,0.0,13.05,2023,qual
124.0,lana herrera,PAN,4.6,7.1,0.1,11.6,2023,qual
16.0,lana herrera,PAN,4.6,7.233,0.0,11.833,2023,qual
32.0,lana herrera,PAN,4.6,7.0,0.1,11.5,2023,qual
4.0,lana herrera rodriguez,PAN,4.6,8.05,0.0,12.65,2023,final
7.0,lana herrera rodriguez,PAN,4.6,7.7,0.0,12.3,2023,qual
100.0,halle hilton,IRL,5.0,7.0,0.0,12.0,2022,qual
11.0,halle hilton,GBR,4.8,7.7,0.0,12.5,2022,qual
37.0,halle hilton,IRL,4.8,7.633,0.0,12.433,2022,qual
86.0,halle hilton,IRL,5.0,7.366,0.1,12.266,2023,qual
6.0,halle hilton,IRL,4.9,7.5,0.0,12.4,2023,final
4.0,halle hilton,IRL,4.8,7.766,0.0,12.566,2023,qual
62.0,halle hilton,IRL,4.6,7.266,0.0,11.866,2023,qual
57.0,aneta holasova,CZE,4.9,7.8,0.1,12.6,2022,qual
30.0,aneta holasova,CZE,4.9,7.666,0.0,12.566,2022,qual
5.0,aneta holasova,CZE,4.9,7.733,0.0,12.633,2022,qual
8.0,aneta holasova,CZE,4.9,7.433,0.2,12.133,2022,final
91.0,lucija hribar,SLO,4.4,7.7,0.0,12.1,2022,qual
9.0,lucija hribar,SLO,4.2,7.466,0.0,11.666,2022,qual
4.0,lucija hribar,SLO,4.2,7.7,0.0,11.9,2022,qual
8.0,lucija hribar,SLO,0.4,8.4,6.5,2.3,2022,final
9.0,lucija hribar,SLO,4.2,7.3,0.0,11.5,2022,qual
8.0,lucija hribar,SLO,4.3,7.1,0.3,11.1,2022,final
8.0,lucija hribar,SLO,4.2,7.5,0.0,11.7,2022,final
6.0,lucija hribar,SLO,4.2,7.7,0.0,11.9,2022,qual
55.0,lucija hribar,SLO,4.2,7.733,0.0,11.933,2022,qual
100.0,lucija hribar,SLO,4.5,7.466,0.0,11.966,2023,qual
15.0,lucija hribar,SLO,4.7,7.5,0.1,12.1,2023,qual
18.0,lucija hribar,SLO,4.4,7.9,0.1,12.2,2023,qual
104.0,lucija hribar,SLO,4.4,6.666,0.3,10.766,2023,qual
74.0,yelyzaveta hubareva,UKR,4.3,7.366,0.1,11.566,2022,qual
6.0,elisa hämmerle,AUT,4.7,7.933,0.1,12.533,2023,qual
7.0,elisa hämmerle,AUT,4.4,7.766,0.0,12.166,2023,final
46.0,rifda irfanaluthfi,INA,4.8,7.966,0.0,12.766,2022,qual
69.0,rifda irfanaluthfi,INA,4.7,7.733,0.0,12.433,2023,qual
11.0,rifda irfanaluthfi,INA,4.8,7.5,0.0,12.3,2023,qual
3.0,rifda irfanaluthfi,INA,4.8,7.833,0.0,12.633,2023,final
4.0,rifda irfanaluthfi,INA,4.8,7.7,0.0,12.5,2023,qual
119.0,nicole iribarne,ARG,4.6,7.133,0.0,11.733,2023,qual
16.0,nicole iribarne,ARG,4.8,7.133,0.0,11.933,2023,AAfinal
25.0,nicole iribarne,ARG,4.8,7.033,0.0,11.833,2023,qual
21.0,melanie jesus santos,FRA,5.2,8.166,0.1,13.266,2022,qual
17.0,melanie jesus santos,FRA,5.6,7.8,0.1,13.3,2023,qual
8.0,shilese jones,USA,5.5,8.2,0.0,13.7,2022,AAfinal
6.0,shilese jones,USA,5.7,8.1,0.0,13.8,2022,qual
5.0,shilese jones,USA,5.6,7.8,0.0,13.4,2023,AAfinal
5.0,shilese jones,USA,5.5,8.166,0.0,13.666,2023,final
5.0,shilese jones,USA,5.7,8.1,0.0,13.8,2023,qual
2.0,katelyn jong,USA,5.6,7.866,0.0,13.466,2022,qual
1.0,katelyn jong,USA,5.6,7.9,0.0,13.5,2022,final
5.0,katelyn jong,USA,5.5,7.55,0.0,13.05,2022,AAfinal
8.0,katelyn jong,USA,5.5,7.55,0.0,13.05,2023,AAfinal
11.0,katelyn jong,USA,5.6,7.1,0.0,12.7,2023,AAfinal
11.0,gulnaz jumabekova,UZB,4.5,6.5,0.0,11.0,2022,qual
21.0,gulnaz jumabekova,UZB,4.6,6.95,0.0,11.55,2022,qual
25.0,gulnaz jumabekova,UZB,4.6,6.966,0.0,11.566,2023,qual
29.0,gulnaz jumabekova,UZB,4.4,6.966,0.0,11.366,2023,qual
12.0,gulnaz jumabekova,UZB,4.8,6.8,0.0,11.6,2023,qual
6.0,levi jung-ruivivar,USA,4.9,8.066,0.3,12.666,2022,final
3.0,levi jung-ruivivar,USA,4.9,8.3,0.0,13.2,2022,qual
14.0,levi jung-ruivivar,USA,4.8,7.9,0.2,12.5,2022,AAfinal
19.0,levi jung-ruivivar,USA,5.0,7.1,0.1,12.0,2023,AAfinal
29.0,katrina jurevica,LAT,4.3,7.066,0.0,11.366,2023,qual
24.0,katrina jurevica,LAT,4.5,6.7,0.1,11.1,2023,qual
102.0,katrina jurevica,LAT,4.2,6.7,0.0,10.9,2023,qual
95.0,radoslava kalamarova,SVK,4.2,6.866,0.0,11.066,2022,qual
136.0,mari kanter,NOR,4.3,7.166,0.3,11.166,2023,qual
9.0,mari kanter,NOR,4.5,7.8,0.0,12.3,2023,qual
8.0,mari kanter,NOR,4.5,7.566,0.0,12.066,2023,final
7.0,mari kanter,NOR,4.9,7.633,0.1,12.433,2023,qual
56.0,mari kanter,NOR,4.4,7.533,0.0,11.933,2023,qual
70.0,yuliia kasianenko,UKR,5.2,7.233,0.1,12.333,2022,qual
13.0,yuliia kasianenko,UKR,5.0,6.266,0.1,11.166,2022,qual
50.0,yuliia kasianenko,UKR,5.1,7.133,0.2,12.033,2022,qual
138.0,elvira katsali,GRE,4.3,5.9,0.0,10.2,2022,qual
15.0,elvira katsali,GRE,4.5,6.733,0.4,10.833,2022,qual
52.0,elvira katsali,GRE,4.4,7.6,0.0,12.0,2022,qual
137.0,elvira katsali,GRE,4.3,6.866,0.0,11.166,2023,qual
7.0,elvira katsali,GRE,4.3,7.3,0.0,11.6,2023,final
8.0,elvira katsali,GRE,4.7,7.7,0.0,12.4,2023,qual
81.0,sevgi kayisoglu,TUR,4.6,7.7,0.1,12.2,2022,qual
9.0,sevgi kayisoglu,TUR,4.8,7.666,0.0,12.466,2022,qual
3.0,sevgi kayisoglu,TUR,4.8,7.85,0.0,12.65,2022,qual
3.0,sevgi kayisoglu,TUR,4.7,7.7,0.0,12.4,2022,final
61.0,sevgi kayisoglu,TUR,4.5,7.3,0.0,11.8,2022,qual
111.0,sevgi kayisoglu,TUR,4.9,7.2,0.3,11.8,2023,qual
3.0,sevgi kayisoglu,TUR,5.0,7.566,0.0,12.566,2023,final
6.0,sevgi kayisoglu,TUR,4.9,7.6,0.0,12.5,2023,qual
58.0,sevgi kayisoglu,TUR,5.0,7.033,0.1,11.933,2023,qual
10.0,sevgi kayisoglu,TUR,4.7,7.2,0.0,11.9,2023,qual
64.0,olivia kelly,BAR,4.9,7.6,0.0,12.5,2022,qual
121.0,olivia kelly,BAR,4.8,7.2,0.3,11.7,2023,qual
9.0,cara kennedy,GBR,4.7,7.85,0.0,12.55,2022,qual
8.0,cara kennedy,SCO,4.7,7.5,0.0,12.2,2022,AAfinal
16.0,cara kennedy,SCO,4.7,7.55,0.0,12.25,2022,qual
103.0,ominakhon khalilova,UZB,4.5,7.366,0.0,11.866,2022,qual
15.0,ominakhon khalilova,UZB,4.4,7.466,0.0,11.866,2022,qual
8.0,ominakhon khalilova,UZB,4.6,7.366,0.0,11.966,2022,qual
5.0,ominakhon khalilova,UZB,4.5,7.433,0.0,11.933,2022,final
22.0,amina khalimarden,KAZ,4.5,7.333,0.0,11.833,2023,qual
16.0,amina khalimarden,KAZ,4.4,6.066,0.0,10.466,2023,AAfinal
79.0,selina kickinger,AUT,4.4,7.833,0.0,12.233,2022,qual
71.0,selina kickinger,AUT,4.3,7.466,0.1,11.666,2022,qual
66.0,selina kickinger,AUT,4.6,7.866,0.0,12.466,2023,qual
23.0,selina kickinger,AUT,4.4,7.233,0.0,11.633,2023,AAfinal
68.0,selina kickinger,AUT,4.4,7.333,0.0,11.733,2023,qual
2.0,sonhyang kim,PRK,5.7,7.266,0.0,12.966,2023,final
10.0,sonhyang kim,PRK,5.7,7.233,0.0,12.933,2023,qual
6.0,sujong kim,PRK,5.5,7.033,0.0,12.533,2023,final
6.0,sujong kim,PRK,5.5,7.6,0.0,13.1,2023,qual
4.0,sujong kim,PRK,5.5,7.466,0.0,12.966,2023,AAfinal
82.0,sara king,SLO,4.2,7.166,0.0,11.366,2022,qual
19.0,sara king,SLO,4.2,7.566,0.0,11.766,2023,qual
21.0,sara king,SLO,4.2,7.1,0.0,11.3,2023,qual
9.0,alice kinsella,GBR,5.6,8.033,0.0,13.633,2022,AAfinal
73.0,alice kinsella,GBR,5.4,7.2,0.3,12.3,2022,qual
4.0,alice kinsella,GBR,5.2,8.0,0.0,13.2,2022,final
3.0,alice kinsella,GBR,5.3,7.75,0.0,13.05,2022,qual
7.0,alice kinsella,GBR,5.5,8.033,0.0,13.533,2022,qual
3.0,alice kinsella,GBR,5.5,7.966,0.1,13.366,2022,TeamFinal
8.0,alice kinsella,GBR,5.5,7.733,0.0,13.233,2023,AAfinal
8.0,alice kinsella,GBR,4.9,7.766,0.0,12.666,2023,final
9.0,alice kinsella,GBR,5.6,8.033,0.0,13.633,2023,qual
1.0,alice kinsella,GBR,5.5,8.4,0.0,13.9,2023,final
1.0,alice kinsella,GBR,5.5,8.2,0.0,13.7,2023,qual
2.0,alice kinsella,GBR,5.6,8.066,0.0,13.666,2023,final
4.0,alice kinsella,GBR,5.5,7.966,0.0,13.466,2023,qual
9.0,alice kinsella,ENG,5.1,6.95,0.0,12.05,2022,AAfinal
1.0,alice kinsella,ENG,5.6,7.766,0.0,13.366,2022,final
1.0,alice kinsella,ENG,5.6,7.85,0.0,13.45,2022,qual
60.0,christina kiosi,GRE,4.4,7.4,0.0,11.8,2022,qual
21.0,christina kiosi,GRE,4.6,7.4,0.3,11.7,2023,qual
67.0,christina kiosi,GRE,4.7,7.066,0.0,11.766,2023,qual
14.0,rina kishi,JPN,5.7,7.2,0.0,12.9,2023,AAfinal
16.0,rina kishi,JPN,5.8,7.533,0.0,13.333,2023,qual
33.0,anna lena koenig,GER,5.0,8.0,0.0,13.0,2022,qual
5.0,anna lena koenig,GER,5.0,7.933,0.0,12.933,2023,final
7.0,anna lena koenig,GER,5.0,8.0,0.0,13.0,2023,qual
24.0,anna lena koenig,GER,5.0,7.566,0.0,12.566,2023,qual
1.0,azuki kokufugata,JPN,5.2,8.433,0.0,13.633,2023,final
1.0,azuki kokufugata,JPN,5.2,8.366,0.0,13.566,2023,qual
8.0,zsofia kovacs,HUN,5.5,7.033,0.0,12.533,2022,final
9.0,zsofia kovacs,HUN,5.6,7.833,0.0,13.433,2022,qual
21.0,zsofia kovacs,HUN,5.5,7.2,0.4,12.3,2022,TeamFinal
2.0,zsofia kovacs,HUN,5.7,7.566,0.0,13.266,2023,AAfinal
8.0,zsofia kovacs,HUN,5.7,7.333,0.3,12.733,2023,final
6.0,zsofia kovacs,HUN,5.7,7.566,0.0,13.266,2023,qual
44.0,margret kristinsdottir,ISL,4.3,7.8,0.0,12.1,2023,qual
56.0,margret lea kristinsdottir,ISL,4.3,7.633,0.0,11.933,2022,qual
107.0,margret lea kristinsdottir,ISL,4.3,7.533,0.0,11.833,2023,qual
26.0,veronika kritski,GBR,4.4,7.35,0.0,11.75,2022,qual
16.0,veronika kritski,GBR,4.6,7.1,0.0,11.7,2023,qual
140.0,ilona krupa,UKR,4.7,6.3,0.0,11.0,2023,qual
69.0,ilona krupa,UKR,4.9,6.833,0.0,11.733,2023,qual
110.0,nika kukuljan frleta,CRO,4.9,7.066,0.2,11.766,2022,qual
100.0,nika kukuljan frleta,CRO,4.8,6.433,0.4,10.833,2022,qual
119.0,nika kukuljan frleta,CRO,4.5,4.866,0.6,8.766,2023,qual
75.0,emilia kulczynska,POL,4.4,7.166,0.0,11.566,2022,qual
14.0,emilia kulczynska,POL,3.8,5.6,0.0,9.4,2022,qual
18.0,emilia kulczynska,POL,4.5,7.3,0.0,11.8,2022,qual
30.0,emilia kulczynska,POL,3.6,6.633,0.3,9.933,2023,qual
37.0,meta kunaver,SLO,3.7,7.233,0.0,10.933,2023,qual
111.0,meta kunaver,SLO,3.7,7.1,0.3,10.5,2023,qual
18.0,maisa kuusikko,FIN,5.0,7.733,0.0,12.733,2022,AAfinal
32.0,maisa kuusikko,FIN,5.2,7.866,0.0,13.066,2022,qual
4.0,maisa kuusikko,FIN,5.1,7.5,0.0,12.6,2022,qual
5.0,maisa kuusikko,FIN,5.1,7.733,0.0,12.833,2022,final
15.0,maisa kuusikko,FIN,5.2,7.666,0.0,12.866,2022,qual
11.0,maisa kuusikko,FIN,4.8,6.5,0.1,11.2,2022,qual
7.0,maisa kuusikko,FIN,5.0,6.95,0.0,11.95,2022,final
7.0,maisa kuusikko,FIN,5.0,7.85,0.3,12.55,2022,qual
15.0,maisa kuusikko,FIN,5.2,7.3,0.2,12.3,2023,AAfinal
32.0,maisa kuusikko,FIN,5.2,7.266,0.1,12.366,2023,qual
13.0,pin lai,TPE,4.6,7.633,0.0,12.233,2023,qual
11.0,pin lai,TPE,4.6,7.333,0.0,11.933,2023,AAfinal
60.0,pin ju lai,TPE,4.8,7.766,0.0,12.566,2022,qual
108.0,pin ju lai,TPE,4.6,7.233,0.0,11.833,2023,qual
10.0,pin ju lai,TPE,4.7,7.6,0.0,12.3,2023,qual
17.0,pin ju lai,TPE,4.5,7.266,0.1,11.666,2023,qual
20.0,pin ju lai,TPE,4.5,7.366,0.0,11.866,2023,qual
10.0,pin ju lai,TPE,4.6,7.166,0.0,11.766,2023,AAfinal
7.0,pin-ju lai,TPE,4.8,7.1,0.1,11.8,2022,qual
6.0,pin-ju lai,TPE,4.6,7.55,0.0,12.15,2022,final
9.0,pin-ju lai,TPE,4.4,7.066,0.0,11.466,2022,qual
38.0,isabelle lamb,GBR,4.0,7.4,0.0,11.4,2022,qual
32.0,isabelle lamb,GBR,4.1,7.15,0.3,10.95,2023,qual
13.0,djenna laroui,FRA,5.0,7.866,0.0,12.866,2023,qual
24.0,djenna laroui,FRA,4.8,4.433,0.0,9.233,2023,qual
4.0,djenna laroui,FRA,4.8,8.066,0.2,12.666,2023,final
2.0,djenna laroui,FRA,4.9,8.15,0.0,13.05,2023,qual
112.0,anna lashchevska,UKR,5.1,6.7,0.0,11.8,2023,qual
24.0,anna lashchevska,UKR,4.9,6.366,0.0,11.266,2023,qual
48.0,anna lashchevska,UKR,4.9,7.166,0.0,12.066,2023,qual
50.0,cassandra lee,CAN,4.9,7.766,0.0,12.666,2023,qual
5.0,cassandra lee,CAN,5.0,7.9,0.0,12.9,2022,final
2.0,cassandra lee,CAN,5.0,8.0,0.0,13.0,2022,qual
15.0,cassandra lee,CAN,4.8,7.633,0.1,12.333,2023,qual
141.0,dayeong lee,KOR,4.5,5.633,0.1,10.033,2022,qual
60.0,dayeong lee,KOR,5.5,7.033,0.0,12.533,2023,qual
6.0,dayeong lee,KOR,4.9,7.466,0.0,12.366,2023,final
10.0,dayeong lee,KOR,5.0,7.7,0.3,12.4,2023,qual
6.0,dayeong lee,KOR,4.9,7.333,0.0,12.233,2023,AAfinal
20.0,yunseo lee,KOR,5.1,7.5,0.0,12.6,2022,AAfinal
27.0,yunseo lee,KOR,5.2,7.9,0.0,13.1,2022,qual
13.0,yunseo lee,KOR,5.3,7.6,0.0,12.9,2023,AAfinal
28.0,yunseo lee,KOR,5.3,7.7,0.0,13.0,2023,qual
113.0,milca leon,VEN,4.2,7.6,0.1,11.7,2022,qual
14.0,milca leon,VEN,4.2,6.85,0.1,10.95,2023,AAfinal
25.0,milca leon,VEN,4.2,6.95,0.0,11.15,2023,qual
28.0,kaitlyn lim,SGP,4.1,6.95,0.0,11.05,2022,qual
27.0,kaitlyn lim,SGP,4.1,7.266,0.0,11.366,2023,qual
11.0,kaitlyn lim,SGP,4.1,7.4,0.0,11.5,2023,AAfinal
3.0,sumin lim,KOR,5.0,7.8,0.0,12.8,2023,final
7.0,sumin lim,KOR,5.0,8.033,0.0,13.033,2023,qual
5.0,sumin lim,KOR,5.0,7.933,0.0,12.933,2023,AAfinal
148.0,yi chen lin,TPE,4.3,5.9,0.0,10.2,2023,qual
23.0,yi chen lin,TPE,4.6,7.2,0.0,11.8,2023,qual
2.0,kaliya lincoln,USA,5.9,8.1,0.0,14.0,2023,AAfinal
1.0,kaliya lincoln,USA,5.3,8.3,0.0,13.6,2023,AAfinal
1.0,kaliya lincoln,USA,6.1,8.133,0.0,14.233,2023,final
1.0,kaliya lincoln,USA,6.1,8.0,0.3,13.8,2023,qual
98.0,maia llacer sirera,ESP,4.3,7.7,0.0,12.0,2022,qual
8.0,maia llacer sirera,ESP,4.6,7.133,0.1,11.633,2023,final
8.0,maia llacer sirera,ESP,4.7,7.833,0.0,12.533,2023,qual
5.0,maia llacer sirera,ESP,4.7,7.833,0.0,12.533,2023,AAfinal
114.0,anna locmele,LAT,3.4,6.166,0.1,9.466,2022,qual
28.0,kursten rogue lopez,PHI,4.2,7.166,0.0,11.366,2023,qual
15.0,kursten rogue lopez,PHI,4.2,6.866,0.3,10.766,2023,AAfinal
51.0,cassandra loustalot,MEX,4.8,7.833,0.0,12.633,2022,qual
32.0,cassandra loustalot,MEX,5.1,7.766,0.0,12.866,2023,qual
4.0,cassandra loustalot,MEX,5.0,8.0,0.1,12.9,2023,qual
38.0,cassandra loustalot,MEX,5.1,5.9,0.1,10.9,2023,qual
14.0,eveylynn lowe,USA,5.3,7.25,0.0,12.55,2023,AAfinal
9.0,eveylynn lowe,USA,5.4,7.6,0.1,12.9,2023,AAfinal
7.0,huan luo,CHN,5.0,7.666,0.0,12.666,2023,qual
4.0,huan luo,CHN,5.0,7.866,0.0,12.866,2023,AAfinal
36.0,jasmin mader,AUT,4.7,8.2,0.0,12.9,2022,qual
36.0,jasmin mader,AUT,4.7,8.033,0.3,12.433,2022,qual
111.0,sani maekelae,FIN,4.1,7.633,0.0,11.733,2022,qual
43.0,sani maekelae,FIN,4.6,7.633,0.0,12.233,2022,qual
4.0,martina maggio,ITA,5.7,8.166,0.0,13.866,2022,AAfinal
6.0,martina maggio,ITA,5.6,7.933,0.0,13.533,2022,final
12.0,martina maggio,ITA,5.7,8.1,0.3,13.5,2022,qual
2.0,martina maggio,ITA,5.7,8.233,0.0,13.933,2022,final
1.0,martina maggio,ITA,5.7,8.133,0.0,13.833,2022,qual
1.0,martina maggio,ITA,5.7,8.033,0.0,13.733,2022,TeamFinal
15.0,lilla makai,HUN,4.5,6.967,0.0,11.467,2023,qual
14.0,lilla makai,HUN,4.4,7.133,0.0,11.533,2023,qual
30.0,patricie makovickova,CZE,4.7,6.3,0.1,10.9,2023,qual
18.0,patricie makovickova,CZE,4.3,6.7,0.3,10.7,2023,qual
49.0,mirtill makovits,HUN,4.4,7.633,0.0,12.033,2022,qual
22.0,mirtill makovits,HUN,4.4,7.433,0.0,11.833,2022,TeamFinal
13.0,mirtill makovits,HUN,4.2,6.733,0.1,10.833,2022,qual
31.0,emma malewski,GE1,4.6,7.15,0.1,11.65,2023,qual
49.0,emma leonie malewski,GER,4.6,8.066,0.0,12.666,2022,qual
35.0,emma leonie malewski,GER,4.5,7.966,0.0,12.466,2022,qual
27.0,emma leonie malewski,GER,4.7,7.833,0.0,12.533,2023,qual
4.0,sabrina maneca voinea,ROU,6.0,7.766,0.0,13.766,2023,final
8.0,sabrina maneca voinea,ROU,6.0,7.666,0.0,13.666,2023,qual
1.0,sabrina maneca voinea,ROU,5.7,7.9,0.0,13.6,2023,final
1.0,sabrina maneca voinea,ROU,5.5,7.766,0.0,13.266,2023,qual
3.0,sabrina maneca voinea,ROU,5.9,7.666,0.0,13.566,2023,final
2.0,sabrina maneca voinea,ROU,6.0,7.7,0.0,13.7,2023,qual
10.0,jea maracha,WAL,4.4,7.45,0.0,11.85,2022,AAfinal
29.0,jea maracha,WAL,4.4,6.85,0.3,10.95,2022,qual
14.0,jea brittany maracha,GBR,4.5,7.75,0.0,12.25,2022,qual
34.0,jea brittany maracha,GBR,4.1,6.75,0.0,10.85,2023,qual
